ACCESSION	IRIS_ID	SUBPOPULATION	COUNTRY
KADAMSAIL::IRGC 37468-2	IRIS_313-11211	ind2	Bangladesh
CANLUBANG::IRGC 69816-1	IRIS_313-11788	japx	Philippines
RAZZA 77::IRGC 3130-1	IRIS_313-9770	temp	Italy
PANKAIT 31::IRGC 29377-1	IRIS_313-11068	aro	Bangladesh
NCS 271 A::IRGC 62216-1	IRIS_313-11636	aus	India
IR 45427-2B-2-2B-1-1::G1	IRIS_313-15899	indx	
SIGUPAI::IRGC 24642-2	IRIS_313-10938	ind3	Indonesia
MACAPAGAL::IRGC 52927-1	IRIS_313-11467	ind3	Philippines
MURUNGA::IRGC 15428-1	IRIS_313-10716	ind2	Sri Lanka
NERICA-L-27	CX377	ind1B	
GLADIO::GERVEX 1652-C1	IRIS_313-8185	trop	
MAK KHEUA::IRGC 11628-1	IRIS_313-10653	subtrop	Lao People's Democratic Republic
SLG1	CX182	indx	
CHIYODA WASE::IRGC 74467-1	IRIS_313-10071	trop	Japan
NYON::IRGC 107099-1	IRIS_313-12341	subtrop	Lao People's Democratic Republic
PMS 10B	B195	indx	
KERITING TINGGI::IRGC 19972-1	IRIS_313-9329	ind3	Indonesia
KASHA::IRGC 83865-1	IRIS_313-12094	aro	Bangladesh
80A97YR303-304-1-3	B053	trop	
TOC 5430::IRGC 70487-1	IRIS_313-10054	indx	Panama
MURGI BRINJ::IRGC 73109-1	IRIS_313-11889	indx	Pakistan
PURTOK (MALAGKIT)::IRGC 44707-2	IRIS_313-11343	ind3	Philippines
LEUANG YAI 344::IRGC 651-1	IRIS_313-9112	ind3	Thailand
SABORAMANDALOAFO::IRGC 69875-1	IRIS_313-11789	ind2	Madagascar
SXC 216::IRGC 35175-1	IRIS_313-11176	indx	India
KOPANCSI KEREK::IRGC 9305-1	IRIS_313-9811	temp	Hungary
NCS 331::IRGC 62247-1	IRIS_313-11638	ind2	India
TUPA 15-3::IRGC 29416-2	IRIS_313-11069	aro	Bangladesh
IR 07F287::G1	IRIS_313-15900	indx	
SITANDANG::IRGC 24681-1	IRIS_313-10940	ind3	Indonesia
SAKHA 102::GERVEX 1687-C1	IRIS_313-8217	temp	
HUHAN 15	CX378	ind1B	
NARUN::IRGC 18320-2	IRIS_313-10797	ind3	Indonesia
WAS 63-22-5-9-10-1::C1	IRIS_313-7832	ind1B	
ZHONG 413	CX19	indx	
KA SAEN::IRGC 11642-1	IRIS_313-10654	ind3	Lao People's Democratic Republic
OWARI MOCHI::IRGC 74513-1	IRIS_313-10073	trop	Japan
TAIDONGLUDAO	B196	trop	
HAI NA::IRGC 107117-1	IRIS_313-12342	subtrop	Lao People's Democratic Republic
BHASAMANIK::IRGC 46954-1	IRIS_313-9360	ind2	India
80050YR72136-43	B054	trop	
NEANG CHEK::IRGC 83894-1	IRIS_313-12096	ind3	Cambodia
DALSUNG 41::IRGC 79385-1	IRIS_313-10103	indx	Korea, Republic of
SAMON::IRGC 44735-2	IRIS_313-11344	ind3	Philippines
KANATO::IRGC 75306-2	IRIS_313-11934	indx	Philippines
LEUANG 28-1-87::IRGC 874-1	IRIS_313-9114	indx	Thailand
KALOBONA::IRGC 37478-2	IRIS_313-11212	ind2	Bangladesh
VARIRANGAHY::IRGC 69897-1	IRIS_313-11790	trop	Madagascar
OS 4	IRIS_313-8523	trop	Nigeria
TUPA::IRGC 29432-1	IRIS_313-11070	admix	Bangladesh
NCS 349::IRGC 62257-1	IRIS_313-11639	indx	India
IR 77298-14-1-2-10::G1	IRIS_313-15901	ind1B	
SINTHA::IRGC 24687-1	IRIS_313-10941	indx	Indonesia
CULALANSI::IRGC 53109-1	IRIS_313-11471	indx	Philippines
NOGO BELE 2::IRGC 18328-2	IRIS_313-10798	trop	Indonesia
NIONOKA	CX379	ind1B	
CT 6510-24-1-2::C1	IRIS_313-7665	indx	
EA HOUM::IRGC 11783-1	IRIS_313-10655	indx	Lao People's Democratic Republic
BR11	CX2	indx	
RIKU AIKOKU::IRGC 74514-1	IRIS_313-10074	trop	Japan
KHAO::IRGC 107359-1	IRIS_313-12344	subtrop	Lao People's Democratic Republic
TAIZHONGXIANXUAN 2	B197	ind1A	
DUDHSWAR 15-141::IRGC 37951-1	IRIS_313-9397	ind2	Bangladesh
NEANG MINH::IRGC 83897-1	IRIS_313-12097	ind3	Cambodia
YR196	B055	temp	
EX FOILAEIN (NAPUTO)::IRGC 81675-1	IRIS_313-10113	indx	Mozambique
KONG KHSACH BANG KATT::IRGC 75350-1	IRIS_313-11935	ind3	Cambodia
ARC 14860::IRGC 41793-2	IRIS_313-11273	indx	India
LEUANG YAI 29-12-2::IRGC 881-1	IRIS_313-9115	ind3	Thailand
VARY LAHY::IRGC 69908-1	IRIS_313-11791	ind2	Madagascar
NARIKEL BADI::IRGC 37550-1	IRIS_313-11213	aus	Bangladesh
KETAN DONGGO::IRGC 54201-1	IRIS_313-9301	trop	Indonesia
NCS 458::IRGC 62290-1	IRIS_313-11640	ind2	India
CHAO HAI::IRGC 29450-2	IRIS_313-11071	indx	Lao People's Democratic Republic
IRRI 146::G1	IRIS_313-15902	ind1B	
BANDANG BUNGKUAKLAN::IRGC 24697-2	IRIS_313-10942	ind3	Indonesia
BANGBANG::IRGC 53131-1	IRIS_313-11472	ind3	Philippines
YANDAO 9	CX380	temp	
PAE ONGGA::IRGC 18418-1	IRIS_313-10799	trop	Indonesia
WAS 173-B-B-6-2-2::C1	IRIS_313-7808	ind1B	
ZIHUI 100	CX20	indx	
NOK KOD::IRGC 11784-1	IRIS_313-10656	subtrop	Lao People's Democratic Republic
SANGOKU::IRGC 74518-1	IRIS_313-10075	trop	Japan
JIEFANGXIAN	B198	ind1A	
VIENG::IRGC 107375-2	IRIS_313-12345	subtrop	Lao People's Democratic Republic
PA FADAYA::IRGC 58524-1	IRIS_313-9402	indx	Sierra Leone
TIEGANWU	B056	temp	
SAMRONG 2::IRGC 83951-1	IRIS_313-12101	ind3	Cambodia
FACAGRO 64::IRGC 82059-1	IRIS_313-10114	ind2	Burundi
WAGWAG::IRGC 44802-1	IRIS_313-11345	indx	Philippines
NEANG MINH TONN::IRGC 75366-2	IRIS_313-11936	ind3	Cambodia
LEUANG YAI 2 B 72::IRGC 882-1	IRIS_313-9116	ind3	Thailand
SHITTA AMAN::IRGC 37596-1	IRIS_313-11214	aus	Bangladesh
VONBOANGY::IRGC 69947-1	IRIS_313-11792	trop	Madagascar
INITLOG DALAG::IRGC 67436-1	IRIS_313-9616	trop	Philippines
CHAO LEP NOK::IRGC 29451-2	IRIS_313-11072	ind3	Lao People's Democratic Republic
NCS 477::IRGC 62299-1	IRIS_313-11641	ind2	India
IAC 165::IRGC 82775-2	IRIS_313-15903	indx	
ANG KANG K P::IRGC 22716-2	IRIS_313-10898	ind3	Cambodia
KINTOMAN (TOD DOY)::IRGC 53146-1	IRIS_313-11473	trop	Philippines
PALOTAN MELATI::IRGC 18426-2	IRIS_313-10800	trop	Indonesia
ADNY 11	CX381	ind1B	
DANAU LAUT TAWAR::C1	IRIS_313-7668	indx	
THANGONE::IRGC 11816-1	IRIS_313-10657	subtrop	Lao People's Democratic Republic
IR69428-6-1-1-3-3	CX205	japx	
SHINA MOCHI::IRGC 74523-1	IRIS_313-10076	trop	Japan
LAB::IRGC 107468-1	IRIS_313-12346	subtrop	Lao People's Democratic Republic
HONGMISANDAN	B199	temp	
LEUANG SAWED::IRGC 78268-1	IRIS_313-9406	ind3	Thailand
SOK SOV::IRGC 83966-1	IRIS_313-12102	ind3	Cambodia
XIUSHUI 115	B057	temp	
SAN SHIH TSI::IRGC 1038-1	IRIS_313-10129	ind1A	China
KUNJUKUNJU::IRGC 75448-1	IRIS_313-11937	indx	India
WAGWAG PUTI::IRGC 44804-2	IRIS_313-11346	ind1B	Philippines
LEUANG YAI 29-12-46::IRGC 24397-1	IRIS_313-9119	ind3	Thailand
FAN WU::IRGC 70245-1	IRIS_313-11801	indx	China
KHAMA 1183::IRGC 37685-2	IRIS_313-11216	aus	Bangladesh
GERDEH	IRIS_313-8256	japx	Iran
NCS 599::IRGC 62373-1	IRIS_313-11642	ind2	India
KHAO DAM::IRGC 29481-3	IRIS_313-11073	subtrop	Lao People's Democratic Republic
JINBUBYEO::G1	IRIS_313-15904	temp	
PADI BENOT::IRGC 24757-2	IRIS_313-10943	ind3	Indonesia
KALIPINCH::IRGC 53271-1	IRIS_313-11476	aus	India
KOGOMG 1-1	CX382	ind1B	
PARE BUWUN::IRGC 18456-2	IRIS_313-10801	trop	Indonesia
SEQ 93::C1	IRIS_313-7635	ind1B	
IR2061-522-6-9	CX206	ind1B	
LONG MA::IRGC 11867-1	IRIS_313-10659	ind3	Lao People's Democratic Republic
TAMASHIRO HIKARI::IRGC 74534-1	IRIS_313-10077	indx	Japan
JINYOU 1	B200	ind1B	
LAI DAM::IRGC 107490-1	IRIS_313-12347	subtrop	Lao People's Democratic Republic
RTS 16::IRGC 8235-1	IRIS_313-9429	indx	Viet Nam
ERJIUNAN 1	B058	ind1B	
PARAI JALEY MASIK::IRGC 84215-1	IRIS_313-12108	trop	Malaysia
PIN GAEW 56::IRGC 7887-1	IRIS_313-10134	ind3	Thailand
WAGWAG RAOIS::IRGC 44805-1	IRIS_313-11347	indx	Philippines
GNASSOUMADOUGOU::IRGC 75595-1	IRIS_313-11938	indx	Burkina Faso
SONAPATNAI::IRGC 46695-1	IRIS_313-9120	admix	India
LAL AMAN 207::IRGC 37754-1	IRIS_313-11217	aro	Bangladesh
JIE CAO ZHAN::IRGC 70305-1	IRIS_313-11802	ind1A	China
BLICCA::IRGC 47151-1	IRIS_313-8356	trop	Philippines
KHAO MAK KHAM::IRGC 29533-1	IRIS_313-11074	ind3	Lao People's Democratic Republic
NCS 603 B::IRGC 62377-1	IRIS_313-11643	ind1B	India
WAB 56-125::IRTP 19771-G1	IRIS_313-15905	trop	
SIPULUT SUBANG::IRGC 24824-2	IRIS_313-10944	ind3	Indonesia
KANPURI::IRGC 53278-1	IRIS_313-11477	aus	India
SEGON BENGGALA::IRGC 18724-1	IRIS_313-10810	ind3	Indonesia
HONGZA	CX383	temp	
MADINIKA 1329::GERVEX 8366-C1	IRIS_313-7725	ind2	
LEP HED::IRGC 11917-1	IRIS_313-10660	subtrop	Lao People's Democratic Republic
GAOZI	CX207	indx	
YOSHINO MOCHI::IRGC 74550-1	IRIS_313-10078	trop	Japan
LOUK NOK::IRGC 107599-1	IRIS_313-12348	subtrop	Lao People's Democratic Republic
CHENGNONGSHUIJING	B201	ind1B	
ARC 15845::IRGC 42151-1	IRIS_313-9619	indx	India
ARITH::IRGC 84347-2	IRIS_313-12109	ind3	Cambodia
NANJING 11	B059	ind1A	
RD 19::IRGC 39174-1	IRIS_313-10147	ind3	Thailand
KAMPTI::IRGC 75626-1	IRIS_313-11939	ind3	Burkina Faso
AUS PADDY (RED)::IRGC 44978-1	IRIS_313-11348	aus	India
KHAO LEUANG RAI::IRGC 48168-1	IRIS_313-9121	ind2	Thailand
MAO ZHA NUO::IRGC 70335-1	IRIS_313-11803	temp	China
BADSHABHOG 4-60::IRGC 37793-2	IRIS_313-11218	aro	Bangladesh
NEP NGAU::IRGC 78369-1	IRIS_313-8735	japx	Viet Nam
NCS 745::IRGC 62466-1	IRIS_313-11644	ind2	India
KHAO NAM YEN::IRGC 29546-2	IRIS_313-11075	japx	Lao People's Democratic Republic
IR 73571-3B-11-3-K2::G1	IRIS_313-15906	indx	
BULAK::IRGC 24884-1	IRIS_313-10945	trop	Indonesia
LOCAL::IRGC 53300-1	IRIS_313-11478	ind2	India
FENGZA	CX384	temp	
SEMPOR::IRGC 18761-2	IRIS_313-10811	indx	Indonesia
H 15-23-DA::C1	IRIS_313-7681	indx	
BG90-2	CX21	ind1B	
SAMBA::IRGC 11993-1	IRIS_313-10661	ind2	Sri Lanka
DANGO MOCHI::IRGC 74551-1	IRIS_313-10079	trop	Japan
BAOXIE 123B	B202	indx	
MAK KHEUA DENG::IRGC 107709-1	IRIS_313-12349	subtrop	Lao People's Democratic Republic
AGEPDAUJSECAN::IRGC 49361-1	IRIS_313-9685	indx	Union of Soviet Socialist Republics (Former)
AIJIAONANTE	B060	ind1A	
HANG::IRGC 82842-1	IRIS_313-12076	subtrop	Lao People's Democratic Republic
CAUVERY::IRGC 45255-1	IRIS_313-10148	indx	India
BACHHAIKALMA::IRGC 45003-2	IRIS_313-11349	ind2	India
MALOBA (DISSI ROUGE)::IRGC 75700-1	IRIS_313-11940	indx	Burkina Faso
LEUANG GLIANG::IRGC 71271-1	IRIS_313-9123	subtrop	Thailand
BLACK 28-564::IRGC 37815-2	IRIS_313-11219	ind2	Bangladesh
QUN XUAN ZAO::IRGC 70371-1	IRIS_313-11804	ind1A	China
571::IRGC 48493-1	IRIS_313-8872	japx	Thailand
ASE BAKKA LOMPO::IRGC 26988-2	IRIS_313-10995	ind3	Indonesia
MAE HAWM::IRGC 61283-1	IRIS_313-11609	ind3	Thailand
INIA TACUARI::G1	IRIS_313-15907	trop	
MANGGE::IRGC 25019-1	IRIS_313-10946	trop	Indonesia
SAKHA 103::GERVEX 1688-C1	IRIS_313-8218	temp	
SERUNEN::IRGC 18789-1	IRIS_313-10812	ind3	Indonesia
NPT-100	CX385	ind1B	
SAGRES::GERVEX 1258-C1	IRIS_313-8137	japx	
KAHATAWEE::IRGC 12004-1	IRIS_313-10662	ind2	Sri Lanka
QB_604	CX210	admix	
HIRAKAWA OKUTE::IRGC 74554-1	IRIS_313-10080	trop	Japan
MAK KHEUA KANG::IRGC 107712-1	IRIS_313-12350	subtrop	Lao People's Democratic Republic
BIWUSHENG	B203	indx	
UNGGUL::IRGC 71644-1	IRIS_313-9694	ind3	Malaysia
OVIBENAMPOTAKA + OVIBE + MAKALIOKA::IRGC 84756-1	IRIS_313-12118	ind2	Madagascar
GUANGLUAI 4	B061	ind1A	
RD 15::IRGC 47705-1	IRIS_313-10151	ind3	Thailand
MOUI SAMBA::IRGC 75751-1	IRIS_313-11941	ind1B	Burkina Faso
BAJAL::IRGC 45024-2	IRIS_313-11350	aro	India
GOJOL GORIA::IRGC 26629-1	IRIS_313-9139	ind2	Bangladesh
XI HONG GU::IRGC 70416-1	IRIS_313-11805	ind1A	China
CHITRAJ 14-134::IRGC 37837-2	IRIS_313-11220	ind2	Bangladesh
TSCHINANANGKA::IRGC 64935-1	IRIS_313-9048	subtrop	Bhutan
NCS 766::IRGC 62478-1	IRIS_313-11645	ind2	India
LAI NOK KHA::IRGC 29604-2	IRIS_313-11076	ind3	Lao People's Democratic Republic
COLOMBIA XXI::G1	IRIS_313-15908	aus	
NANE::IRGC 25035-1	IRIS_313-10947	ind3	Indonesia
VANKALI::IRGC 53339-1	IRIS_313-11479	trop	India
NPT-114	CX386	indx	
SIAM BARABAI::IRGC 18800-2	IRIS_313-10813	ind3	Indonesia
WAS 203-B-B-2-4-1::C1	IRIS_313-7819	ind1B	
M3122	CX211	temp	
CHINES::IRGC 9316-1	IRIS_313-10618	temp	
KYUUSHUU::IRGC 74558-1	IRIS_313-10082	trop	Japan
LONGHUAMAOHU	B204	temp	
KHAO LOUANG::IRGC 107770-1	IRIS_313-12351	subtrop	Lao People's Democratic Republic
SERAUP 27::IRGC 1-1	IRIS_313-9699	ind3	Malaysia
NANTEHAO	B062	ind1A	
CHA LIENG::IRGC 84920-1	IRIS_313-12121	ind3	Lao People's Democratic Republic
HE GU TSAO::IRGC 51302-1	IRIS_313-10154	ind1A	China
BANCHI::IRGC 45055-2	IRIS_313-11351	ind2	India
I 41::IRGC 75927-1	IRIS_313-11943	ind1A	Nepal
BADAL 1163::IRGC 32796-1	IRIS_313-9148	ind2	Bangladesh
CYLINDRICAL 30-605::IRGC 37845-2	IRIS_313-11221	ind2	Bangladesh
78 XUAN WU::IRGC 70475-1	IRIS_313-11806	ind1A	China
TAKAO MOCHI::IRGC 2564-1	IRIS_313-9081	temp	Japan
LAI HANG HMA::IRGC 29608-2	IRIS_313-11077	subtrop	Lao People's Democratic Republic
NCS 771 A::IRGC 62483-1	IRIS_313-11646	ind2	India
IET 14720::IRTP 23179-G1	IRIS_313-15909	aro	
PARE MAROMBA::IRGC 25074-2	IRIS_313-10948	admix	Indonesia
PR 106::IRGC 53418-1	IRIS_313-11480	ind1B	India
SIBORAS::IRGC 18816-2	IRIS_313-10814	ind3	Indonesia
1088	CX387	ind1B	
IR 1561-228-3-3::IRGC 32627-C1	IRIS_313-7684	indx	Philippines
ARC 6052::IRGC 12196-1	IRIS_313-10664	ind2	India
NONGKEN 58	CX212	temp	
GAWICHAL::IRGC 77653-1	IRIS_313-10094	trop	Korea, Republic of
MEE::IRGC 107773-1	IRIS_313-12352	subtrop	Lao People's Democratic Republic
CUNSANLI	B205	japx	
PODIWEE::IRGC 11938-1	IRIS_313-9831	indx	Sri Lanka
YOI::IRGC 82855-1	IRIS_313-12077	subtrop	Lao People's Democratic Republic
GUIZHAO 2	B063	ind1A	
BR IRGA 409::IRGC 55915-1	IRIS_313-10161	ind1B	Brazil
C 722323::IRGC 73147-1	IRIS_313-11890	temp	Taiwan
BUCHI::IRGC 45237-2	IRIS_313-11352	aro	India
KUSHIARA::IRGC 34709-1	IRIS_313-9174	ind2	Bangladesh
R 582::IRGC 70504-1	IRIS_313-11807	indx	Colombia
DELI POCONG::IRGC 35265-1	IRIS_313-11177	indx	Indonesia
RIMBUN::IRGC 43741-1	IRIS_313-9239	trop	Indonesia
NCS 809 A::IRGC 62502-1	IRIS_313-11647	ind2	India
NON HAI::IRGC 29636-2	IRIS_313-11078	indx	Lao People's Democratic Republic
CYPRESS::IRTP 19532-G1	IRIS_313-15910	trop	
TEKALAK::IRGC 25154-1	IRIS_313-10949	trop	Indonesia
BINNAFUL::IRGC 53479-1	IRIS_313-11481	aus	Bangladesh
KR200	CX388	ind1B	
SIDJANGGUK::IRGC 18826-2	IRIS_313-10815	trop	Indonesia
IR 22::IRGC 11356-C1	IRIS_313-7688	ind1B	Philippines
CHENNONG 89366	CX213	temp	
ARC 6218::IRGC 12255-1	IRIS_313-10666	indx	India
JOKJEBICHAL::IRGC 77663-1	IRIS_313-10096	japx	Korea, Republic of
AIHECHI	B207	indx	
MOK::IRGC 107804-1	IRIS_313-12353	subtrop	Lao People's Democratic Republic
MEKENZIE SMALL::IRGC 49895-1	IRIS_313-9935	ind2	Guyana
XIANGZAOXIAN 7	B064	indx	
INPONG::IRGC 85524-1	IRIS_313-12127	ind3	Lao People's Democratic Republic
IR 13429-109-2-2-1::IRGC 63491-1	IRIS_313-10167	indx	Philippines
CHILE BORO::IRGC 45297-2	IRIS_313-11353	aus	India
I 814::IRGC 76028-1	IRIS_313-11944	ind1A	Nepal
KHAO MON::IRGC 60764-1	IRIS_313-9182	indx	Myanmar
DUDHSWAR 15-157::IRGC 37967-2	IRIS_313-11222	ind2	Bangladesh
R 762::IRGC 70531-1	IRIS_313-11808	indx	Colombia
BULI INIA::IRGC 116961-1	IRIS_313-10258	temp	Chile
PHAN PHAE::IRGC 29652-2	IRIS_313-11079	ind3	Lao People's Democratic Republic
NCS 830::IRGC 62518-1	IRIS_313-11648	ind2	India
CIWINI SML::IRGC 50642-1	IRIS_313-9939	admix	Surinam
ASE PULU BOLONG::IRGC 25171-1	IRIS_313-10950	trop	Indonesia
BONGEZA::IRGC 53483-1	IRIS_313-11482	aus	Bangladesh
SIDJERO GUNDIL::IRGC 18829-2	IRIS_313-10816	trop	Indonesia
JINYUAN 85	CX389	temp	
VARY LAVA DE MAROVATO::GERVEX 8396-C1	IRIS_313-7799	ind2	
ARC 7236::IRGC 12335-1	IRIS_313-10667	ind2	India
BRAZIL NUODAO	CX214	trop	
GALSAEGSSAL SHAREI::IRGC 82881-1	IRIS_313-10124	temp	Korea, Republic of
NASAENG::IRGC 107818-1	IRIS_313-12354	indx	Lao People's Democratic Republic
LUCAIHAO	B208	ind1A	
SOLOMON RED RICE::IRGC 50950-1	IRIS_313-9944	indx	Solomon Islands
HMA GNENG::IRGC 85751-1	IRIS_313-12128	ind3	Lao People's Democratic Republic
HUANGSIGUIZHAN	B065	indx	
MEI FENG 9::IRGC 63735-1	IRIS_313-10168	indx	China
MALIKULI::IRGC 76237-1	IRIS_313-11945	ind2	Bangladesh
CAC 75::IRGC 45352-2	IRIS_313-11354	ind2	India
XI GAN JING REN::IRGC 60035-1	IRIS_313-9184	indx	China
